ProductId,ProductName,Price,Stock,Description,ProductIcon,CategoryType
B0011,Study Table,30,95,Computer Table with Drawers,https://www.decornation.in/wp-content/uploads/2020/09/white-computer-desk.jpg,0
B0012,Dining Table,20,195,Wooden 4 Seater Dininng Table Set,https://www.decornation.in/wp-content/uploads/2020/06/solid-wood-dining-table-1.jpg,0
B0013,Fabric Chair,10,200,Colourful Fabric Chair,https://www.decornation.in/wp-content/uploads/2020/06/dining-wooden-patchwork-chair.jpg,0
B0014,Console Table,30,199,Rectangular Wooden Console Table,https://www.decornation.in/wp-content/uploads/2020/03/solid-wood-console-table-4.jpg,0
B0015,Center Table,30,199,Wooden Center Table,https://www.decornation.in/wp-content/uploads/2020/02/white-rectangular-wooden-coffee-table.jpg,0
C0011,Metal Leaf Art,10,105,Iron Titan Leaf Metal Wall Art,https://ii1.pepperfry.com/media/catalog/product/i/r/800x880/iron-titan-leaf-metal-wall-art-by-kaptown-kreations-iron-titan-leaf-metal-wall-art-by-kaptown-kreati-xb15d3.jpg,2
C0012,Flower Wall Art,13,107,Iron Double Ring In Flower Wall Art,https://ii1.pepperfry.com/media/catalog/product/i/r/800x880/iron-double-ring-in-flower-wall-art-by-the-sk-creative-arts-iron-double-ring-in-flower-wall-art-by-t-rqgfjv.jpg,2
C0013,Rose Flower Art,22,222,Iron Red And White Flower Metal Wall Art,https://ii1.pepperfry.com/media/catalog/product/i/r/800x880/iron-red-and-white-flower-with-led-metal-wall-art-by-the-sk-creative-arts-iron-red-and-white-flower--c9ebm0.jpg,2
D0011,Wall Light,1,100,Modren Black Wall Light,https://ii1.pepperfry.com/media/catalog/product/m/o/800x880/modern-black-wall-light--by-stello-modern-black-wall-light--by-stello-xwj76s.jpg,3
D0012,Black Metal Light,2,200,Black Metal Single Hanging Light,https://ii1.pepperfry.com/media/catalog/product/b/l/800x880/black-metal-single-hanging-light-by-eliante-by-jainsons-lights-black-metal-single-hanging-light-by-e-viytal.jpg,3
D0013,Hanging Light,100,25,Brown Brown 8 Inches String Bowl Hanging Pendant Light,https://ii1.pepperfry.com/media/catalog/product/b/r/800x880/brown-brown-8-inches-string-bowl-hanging-pendant-light-by-fos-lighting-brown-brown-8-inches-string-b-j5jdzv.jpg,3
F0011,Indoor Plant,4,56,Two Small Plants in Pot,https://rukminim1.flixcart.com/image/416/416/krce64w0/artificial-plant/f/l/l/dh-kata-mini-litleo-original-imag55h3w2hughem.jpeg,1
F0012,Bonsai Plant,20,22,Artificial Bonsai Plant for Desk,https://www.egiftmart.com/uploaded_files/itempic/Artificail-table-top-plant1.jpg,1
F0013,Indoor Plant with Ceramin Pot,15,10,Small Plant in Ceramin Pot,https://m.media-amazon.com/images/I/81f1LJ0MO9L._SX466_.jpg,1
